id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2022-1664970,2022-01-25,000001,Vente,8350,4,,RUE SCIPION,8884,75005,75105,Paris 5e Arrondissement,75,,,75105000AS0012,,,202,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.354445,48.838115
2022-1665000,2022-01-17,000001,Vente,786000,27,,RUE SAINT JACQUES,8648,75005,75105,Paris 5e Arrondissement,75,,,75105000BQ0004,,,45,62.86,47,,,,,,,,2,2,Appartement,69,3,,,,,,2.346131,48.851338
2022-1665013,2022-01-28,000001,Vente,350050,320,,RUE SAINT JACQUES,8648,75005,75105,Paris 5e Arrondissement,75,,,75105000BF0074,,,12,27.54,58,,,,,,,,2,4,Local industriel. commercial ou assimilé,27,0,,,,,,2.340232,48.840319
2022-1665022,2022-01-26,000001,Vente,495000,53,,RUE GEOFFROY ST HILAIRE,4108,75005,75105,Paris 5e Arrondissement,75,,,75105000AK0108,,,24,,50,45.53,,,,,,,2,2,Appartement,60,2,,,,,,2.354934,48.842988
2022-1665022,2022-01-26,000001,Vente,495000,53,,RUE GEOFFROY ST HILAIRE,4108,75005,75105,Paris 5e Arrondissement,75,,,75105000AK0108,,,24,,50,45.53,,,,,,,2,3,Dépendance,,0,,,,,,2.354934,48.842988
2022-1665061,2022-01-19,000001,Vente,340000,7,,RUE LHOMOND,5648,75005,75105,Paris 5e Arrondissement,75,,,75105000AZ0004,,,37,28.72,,,,,,,,,1,2,Appartement,28,1,,,,,,2.345735,48.844427
2022-1665063,2022-01-20,000001,Vente,31000,9,,RUE LAROMIGUIERE,5360,75005,75105,Paris 5e Arrondissement,75,,,75105000AZ0027,,,201,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.347325,48.843748
2022-1665086,2022-01-28,000001,Vente,225000,28,,RUE DES ECOLES,3098,75005,75105,Paris 5e Arrondissement,75,,,75105000BO0044,,,21,11.78,,,,,,,,,1,3,Dépendance,,0,,,,,,2.347734,48.848995
2022-1665098,2022-01-24,000001,Vente,780000,43,,BD SAINT GERMAIN,8619,75005,75105,Paris 5e Arrondissement,75,,,75105000AC0006,,,39,,4,63.51,,,,,,,2,3,Dépendance,,0,,,,,,2.349841,48.849458
2022-1665098,2022-01-24,000001,Vente,780000,43,,BD SAINT GERMAIN,8619,75005,75105,Paris 5e Arrondissement,75,,,75105000AC0006,,,39,,4,63.51,,,,,,,2,2,Appartement,54,3,,,,,,2.349841,48.849458
